,Symbols,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion
1103,CTLP,9.81,10.75,13.25,7.25,281.15k,235.42k,73.93%
1104,CSTR,21.47,20.67,23.00,13.68,43.37k,51.92k,41.26%
1105,CBKN,,,,,,,
1106,CCBG,27.29,25.63,29.00,21.42,39.5k,30.76k,43.85%
1107,CPTAL,24.41,23.20,25.68,11.00,2.72k,5.74k,N/A
1108,CMCAU,10.08,10.08,10.20,10.01,20,869.92k,N/A
1109,CFFN,11.81,12.05,14.38,10.67,722.91k,476.3k,78.02%
1110,CGRN,4.9848,5.8735,15.2800,3.1700,194.46k,126.26k,16.83%
1111,CARG,35.56,29.75,39.77,22.63,1.12M,1.1M,94.47%
1112,PRTS,13.72,15.90,23.26,11.06,798.31k,960.6k,79.65%
1113,CARB,,,,,,,
1114,CSCX,,,,,,,
1115,CDICD,,,,,,,
1116,CRDL,2.5890,2.9328,4.9600,1.8100,368.18k,820.92k,9.78%
1117,CDLX,75.41,98.36,161.47,60.66,382.07k,374.12k,97.06%
1118,MTBC,6.96,7.90,12.84,4.86,91.15k,72.9k,20.62%
1119,CMAX,7.76,10.51,18.42,5.91,224.92k,254.12k,66.92%
1120,CRBU,19.18,21.73,32.65,14.17,487.89k,402.39k,N/A
1121,CGABL,25.43,25.59,26.65,24.76,24.78k,37.52k,N/A
1122,CTAQ,9.79,9.76,15.00,9.60,38.25k,53.26k,80.11%
1123,CART,,,,,,,
1124,TAST,3.2716,4.6855,8.0900,2.5800,474.13k,396.68k,45.83%
1125,GLBL,9.91,9.78,10.00,9.59,12.96k,108.48k,46.69%
1126,CASA,5.61,7.48,13.15,4.59,426.85k,302.89k,69.42%
1127,CCAI,9.74,9.74,9.95,9.67,3.34k,47.74k,15.84%
1128,CWST,84.99,72.94,89.84,53.43,240.9k,194.05k,101.45%
1129,CASY,194.42,202.11,229.18,175.02,267.8k,195.02k,85.79%
1130,SAVA,52.56,62.74,146.16,6.78,4.96M,5.05M,27.59%
1131,CPHL,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1132,CBIO,1.9362,3.8615,7.5500,0.9000,1.73M,852.52k,60.08%
1133,CPARU,9.95,9.97,10.30,9.78,187.95k,38.22k,106.24%
1134,CPRX,6.71,5.65,7.58,3.27,1.44M,990.54k,66.68%
1135,CATS,,,,,,,
1136,CVCO,287.29,243.92,327.24,170.86,55.78k,45.28k,96.29%
1137,CAZAW,,,,,,,
1138,CBOE,130.00,119.15,139.00,87.00,469.74k,530.9k,82.76%
1139,CHINA,,,,,,,
1140,CEDR,,,,,,,
1141,BDAY,,,,,,,
1142,CLPA,,,,,,,
1143,CLBT,9.38,9.84,13.24,7.66,191.98k,307.01k,31.14%
1144,CLLS,9.65,13.89,34.71,7.80,203.28k,239.5k,33.16%
1145,CELHW,,,,,,,
1146,CELU,6.2802,8.3239,13.4000,4.3900,94.18k,82.77k,14.41%
1147,CETX,1.0915,1.3313,4.2000,0.7700,656.24k,4.09M,7.24%
1148,CDEV,6.79,5.73,8.29,1.44,7.35M,6.65M,63.87%
1149,CTLM,,,,,,,
1150,CTRA,20.74,18.35,23.64,14.28,7.04M,10.18M,53.69%
1151,CETV,,,,,,,
1152,CENTA,46.79,46.99,55.82,35.35,335.17k,187.09k,87.29%
1153,CVCY,21.25,20.83,23.83,14.89,27.03k,17.18k,49.21%
1154,CENH,,,,,,,
1155,CNBKA,114.98,109.62,121.32,73.90,6.27k,9.35k,53.36%
1156,IPSC,18.65,23.20,32.90,13.08,158.33k,107.03k,5.28%
1157,CRNT,2.9420,3.4811,6.9000,2.5000,875.01k,592.57k,16.23%
1158,CRNCV,,,,,,,
1159,CERN,76.72,76.34,93.25,67.96,13.57M,4.21M,89.47%
1160,CERS,6.88,6.13,8.41,4.67,1.73M,1.32M,82.73%
1161,CITZ,27.69,26.78,29.00,22.50,N/A,3,0.00%
1162,CHX,23.31,23.51,30.48,14.80,1.24M,1.3M,96.88%
1163,CHNGV,,,,,,,
1164,CACAU,,,,,,,
1165,CNTQ,9.98,9.95,10.10,9.78,15.22k,33.43k,0.00%
1166,GTLS,174.20,163.99,206.29,115.87,350.16k,346.81k,120.44%
1167,CHRT,,,,,,,
1168,CHEKZ,N/A,N/A,0.1600,0.1000,N/A,N/A,N/A
1169,CHKP,115.43,118.41,137.49,107.85,1.55M,1.11M,75.41%
1170,CMPI,3.6844,5.7451,17.8500,2.6200,62.84k,36.58k,88.39%
1171,CAKE,41.36,49.57,65.81,34.64,867.17k,938.8k,80.64%
1172,CXSP,,,,,,,
1173,CCXI,36.48,26.55,70.29,9.53,1.57M,4.9M,64.65%
1174,CHKE,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1175,CHK,63.33,55.69,69.40,40.00,865.24k,1.2M,119.63%
1176,CHEVD,,,,,,,
1177,REFI,16.10,16.10,17.00,15.50,68.56k,188.93k,N/A
1178,CSSE,16.40,27.08,47.72,12.01,124.87k,115.16k,77.47%
1179,CMRX,5.99,7.18,11.57,4.71,1.16M,1.01M,62.58%
1180,CAEID,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1181,CBPO,,,,,,,
1182,CABUD,,,,,,,
1183,CCCLW,,,,,,,
1184,CDS,,,,,,,
1185,CHOPW,,,,,,,
1186,CPBY,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1187,CJJD,0.5408,0.7930,1.6800,0.3600,346.59k,684.05k,17.99%
1188,CMED,,,,,,,
1189,CREG,5.6038,7.2181,14.3900,3.6900,37.78k,66.18k,0.85%
1190,SXTC,0.7907,1.1933,5.1200,0.5050,213.56k,517.73k,1.06%
1191,CTDC,,,,,,,
1192,CVVZ,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1193,PLIN,1.6122,1.2845,3.1200,0.7400,583.31k,559.48k,0.89%
1194,CASTU,,,,,,,
1195,IMOSD,,,,,,,
1196,COFS,25.59,24.93,31.45,22.76,7.11k,7.51k,11.65%
1197,CHDN,234.49,216.09,262.20,175.01,189.83k,184.9k,72.88%
1198,CDTX,1.5054,1.8915,3.1500,1.1000,1.44M,942.2k,38.72%
1199,CIMA,,,,,,,
1200,CNNB,14.62,14.19,15.66,11.51,960,1.4k,12.32%
1201,CIDM,1.8064,1.6813,2.9500,0.6300,3.58M,5.38M,12.57%
1202,CTAS,437.36,388.99,461.44,314.62,562.04k,385.33k,65.83%
1203,CRUS,83.45,81.96,103.25,71.11,395.93k,460.89k,91.44%
1204,CTRN,80.71,83.94,111.44,46.04,323.04k,253.53k,101.96%
1205,CBCF,,,,,,,
1206,CZFC,,,,,,,
1207,CIZN,18.21,18.54,27.88,17.00,1.67k,3.48k,14.40%
1208,CZNC,26.04,25.07,27.99,18.98,24.75k,21.7k,28.46%
1209,CTXS,89.04,109.55,145.19,78.07,2.32M,1.75M,99.83%
1210,CHCO,80.65,78.57,88.49,68.28,95.66k,52.2k,64.49%
1211,CKXE,,,,,,,
1212,CLRM,9.78,9.73,9.99,9.60,24.39k,28.37k,57.17%
1213,CLAS,9.74,9.71,9.97,9.46,140.47k,55.13k,57.05%
1214,CLNE,7.73,9.02,19.79,5.85,3.63M,3.59M,40.34%
1215,CLSK,16.63,16.32,42.60,9.80,2.23M,1.94M,28.17%
1216,CLAQU,10.39,10.30,11.26,9.34,1.49k,629,16.52%
1217,CLPT,14.57,17.89,31.29,10.65,250.41k,255.47k,26.21%
1218,CLFD,64.95,45.58,86.17,23.60,226.4k,142k,39.32%
1219,CLIRW,,,,,,,
1220,CMTA,,,,,,,
1221,CLVR,5.2846,8.6934,19.4600,3.0000,353.33k,211.2k,26.88%
1222,CSBK,,,,,,,
1223,CLOE,9.99,9.98,10.65,9.85,12.88k,24.83k,71.70%
1224,CODX,8.76,9.17,20.68,7.01,1.25M,601.24k,27.43%
1225,COA,,,,,,,
1226,COBZ,,,,,,,
1227,CCEP,53.67,56.95,63.04,44.34,1.14M,1.02M,32.25%
1228,CODA,8.10,8.56,10.17,5.76,7.42k,12.53k,18.44%
1229,DNAY,7.99,11.93,25.70,6.16,735.36k,185.48k,55.36%
1230,CDAK,13.67,16.97,37.85,9.67,77.38k,52.35k,82.02%
1231,JVA,4.4822,4.9858,6.4800,3.8700,20.54k,65.99k,29.01%
1232,CCOI,75.73,74.09,80.50,56.38,482.17k,266.95k,86.13%
1233,CGNX,80.62,82.47,101.82,72.85,603.9k,660.46k,91.61%
1234,CTSH,81.18,76.17,90.08,66.19,2.88M,2.63M,93.36%
1235,CWBR,0.5733,1.0759,2.2700,0.3400,1.25M,1.91M,16.29%
1236,CHRS,17.63,15.41,22.22,12.21,856.53k,626.49k,106.77%
1237,COHU,34.94,36.27,51.86,29.00,617.04k,497.61k,90.46%
1238,COLI,9.76,9.75,10.09,9.10,30.22k,30.62k,59.17%
1239,CLGN,18.26,17.01,24.26,10.25,164.53k,68.37k,12.23%
1240,CFSI,,,,,,,
1241,CIGI,143.26,124.72,150.64,84.02,49.03k,57.28k,75.98%
1242,CBAN,18.05,17.54,19.59,13.70,22.24k,12.76k,38.11%
1243,CSCW,0.5550,0.8859,2.6700,0.4400,1.99M,5.96M,1.19%
1244,CBMD,,,,,,,
1245,CLBK,19.50,18.25,21.10,14.70,166.92k,117.03k,16.51%
1246,CMCO,47.99,48.46,57.06,37.76,88.1k,116.78k,100.80%
1247,CBMXW,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1248,CMCSA,51.53,55.51,61.80,46.29,21.44M,20.16M,85.32%
1249,COMM,10.67,15.62,22.18,9.25,3.09M,4.2M,92.92%
1250,CMFB,,,,,,,
1251,CNAF,19.28,19.82,21.50,16.01,2.13k,1.58k,3.65%
1252,JCS,3.2380,6.0177,11.4500,2.2000,71.23k,170.88k,44.87%
1253,ESXB,11.67,10.36,12.50,6.71,214.03k,97.02k,56.11%
1254,CCFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1255,TCFC,38.43,36.40,40.96,23.60,6.98k,6.7k,39.28%
1256,CPBC,,,,,,,
1257,CWBC,13.09,12.99,14.62,8.75,8.95k,4.55k,24.86%
1258,CMPX,3.3275,3.3275,4.3800,2.6600,293.68k,310.93k,N/A
1259,CGEN,5.2408,6.8589,14.3000,3.6800,1.11M,1.33M,45.52%
1260,RBOT,11.71,10.71,15.79,9.50,1.02M,450.04k,32.85%
1261,CTG,8.51,9.08,11.68,6.04,40.92k,25.48k,54.47%
1262,CHCI,4.7278,5.3594,15.7200,2.7900,12.43k,44.79k,8.59%
1263,CMTL,24.82,24.76,30.40,20.09,182.26k,206.46k,75.16%
1264,CMVT,,,,,,,
1265,CCSI,61.27,60.51,69.31,34.81,170.72k,253.7k,33.81%
1266,CNXC,177.80,164.40,191.35,96.44,245.84k,203.49k,84.43%
1267,CNCE,3.4199,3.7871,13.4400,2.6400,182.81k,843.37k,62.60%
1268,BBCP,8.58,8.24,9.70,3.75,87.32k,107.26k,62.17%
1269,CNXTD,,,,,,,
1270,CFMS,0.9769,1.1264,1.9550,0.6400,2.22M,1.77M,45.97%
1271,CTWS,,,,,,,
1272,CONR,,,,,,,
1273,CWCO,11.10,11.97,15.37,10.36,83.24k,59.29k,56.19%
1274,ROAD,35.36,32.89,44.99,25.41,312.53k,203k,98.17%
1275,CNTX,5.0771,5.0771,10.8700,2.6100,2.57M,6.08M,0.17%
1276,CFRX,3.3410,3.8735,7.6300,2.4200,229.48k,216.31k,63.94%
1277,CVON,,,,,,,
1278,COINU,,,,,,,
1279,CPAA,9.82,9.80,10.26,9.65,750,44.22k,N/A
1280,CPNO,,,,,,,
1281,CNIC,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1282,CRVL,190.78,151.28,211.32,97.39,57.81k,42.2k,53.13%
1283,CRZN,9.73,9.62,9.95,2.88,40.23k,23.71k,48.85%
1284,CORT,20.33,21.35,31.18,15.83,3.44M,1.66M,70.87%
1285,CGTK,,,,,,,
1286,CORI,,,,,,,
1287,COOL,9.79,9.75,10.52,9.49,93.64k,61.31k,68.90%
1288,EXBD,,,,,,,
1289,CRSR,23.57,28.76,49.60,20.05,1.06M,1.19M,72.54%
1290,CRTX,18.93,50.19,121.98,10.71,1.42M,2.29M,62.92%
1291,CPWM,,,,,,,
1292,CTRX,,,,,,,
1293,CGRB,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1294,ICBK,36.08,30.94,37.30,19.66,2.73k,4.71k,24.87%
1295,CVLG,26.99,23.60,34.75,14.09,142.94k,199.06k,60.10%
1296,CVETV,,,,,,,
1297,COWNZ,,,,,,,
1298,CPEXV,,,,,,,
1299,BREW,,,,,,,
1300,CRTD,2.8478,3.3451,9.8000,2.0500,588.26k,4.33M,8.07%
1301,CELZ,4.3479,12.8257,65.0000,1.5825,1.32M,704.12k,0.00%
1302,TVIZ,,,,,,,
1303,CREE,,,,,,,
1304,CCAP,19.11,18.79,21.48,14.11,145.73k,86.64k,58.35%
1305,CXDO,5.2732,5.7583,8.3800,4.3900,86.99k,46.76k,6.76%
1306,BHAC,9.74,9.74,9.88,9.71,11.66k,30.47k,36.19%
1307,CROX,159.48,127.22,183.88,60.67,2.82M,1.63M,95.44%
1308,CROS,,,,,,,
1309,XTXI,,,,,,,
1310,CRWS,7.45,7.55,8.40,6.50,15.97k,17.29k,41.84%
1311,CCEL,12.53,10.58,14.16,7.36,19.98k,7.15k,1.72%
1312,CRYP,,,,,,,
1313,CIVC,,,,,,,
1314,HLTH,11.05,11.29,22.55,8.53,1.19M,800.12k,N/A
1315,CGEM,19.25,26.69,59.85,14.41,609.64k,263.9k,74.24%
1316,CPIX,3.52,3.09,7.51,2.20,758.27k,5.07M,20.05%
1317,CMLS,12.22,11.59,14.84,8.07,39.68k,36.54k,73.30%
1318,CURI,8.03,11.30,24.00,5.57,1.03M,577.84k,22.16%
1319,CUTR,40.36,41.75,60.36,22.46,157.22k,150.9k,108.27%
1320,CVT,9.49,9.93,14.62,7.35,173.24k,707.62k,N/A
1321,CYAN,3.2440,3.0949,6.2900,2.6900,45.22k,52.03k,10.52%
1322,CYBE,43.23,37.11,49.10,21.77,67.24k,41.94k,63.81%
1323,CYBI,,,,,,,
1324,CYCN,2.2764,2.9641,6.9000,1.4900,345.44k,408.95k,58.43%
1325,CYMI,,,,,,,
1326,CY,,,,,,,
1327,CONE,86.62,76.98,90.34,61.64,2.99M,2.73M,105.88%
1328,CYT,14.83,17.17,23.10,9.72,136.23k,67.28k,57.42%
1329,CTSO,5.3332,7.4857,11.6840,4.0200,346.31k,275.65k,43.58%
1330,CYTK,38.67,30.02,47.60,17.72,988.88k,860.92k,96.09%
1331,CYTR,0.5750,1.1975,5.0000,0.4200,126.42k,79.61k,0.08%
1332,DMED,,,,,,,
1333,DDMXU,10.65,10.55,11.68,9.83,2.31k,1.27k,23.63%
1334,XRAY,54.37,60.93,69.54,48.13,1.8M,1.75M,97.05%
1335,DFPHW,N/A,N/A,1.8400,1.7400,N/A,N/A,N/A
1336,DHBC,9.77,9.72,10.09,9.60,14.96k,24.72k,47.62%
1337,DILA,9.76,9.72,10.28,9.25,250,16.66k,N/A
1338,DLHC,15.32,12.33,20.64,9.21,85.01k,47.66k,64.00%
1339,BOOM,39.90,46.57,70.00,34.46,199.12k,129.37k,107.70%
1340,DPCSU,10.08,10.08,10.28,10.01,9.27k,444.76k,N/A
1341,DTRT,9.98,9.98,12.03,9.73,21.32k,78.8k,19.20%
1342,DZSI,13.47,15.46,23.48,10.77,146.21k,113.49k,36.79%
1343,DAIEY,,,,,,,
1344,DALN,6.79,6.88,8.40,6.27,18.4k,17.83k,53.01%
1345,DRIO,15.66,16.47,31.85,10.02,124.24k,169.79k,41.81%
1346,DATS,5.4782,6.9286,18.5000,2.7500,1.62M,10.06M,3.92%
1347,DAIO,5.1568,5.7832,7.5200,4.0300,31.8k,41.31k,39.69%
1348,DTST,3.7900,3.7752,13.1000,0.1400,70.39k,180.12k,7.99%
1349,DTSS,1.7706,2.3750,6.8400,1.2200,440.19k,203.88k,0.22%
1350,PLAY,36.53,39.24,51.73,26.80,1.44M,1.29M,95.66%
1351,DWSN,2.3136,2.3877,4.4700,1.8300,133.57k,174.74k,62.06%
1352,DSTIW,,,,,,,
1353,DDICD,,,,,,,
1354,DCRB,,,,,,,
1355,DCRC,11.45,10.55,14.48,9.68,2.2M,2.06M,N/A
1356,DBTX,6.7684,8.0875,24.3900,4.5000,122.73k,53.05k,73.75%
1357,DECT,,,,,,,
1358,DLCA,9.76,9.73,10.11,9.53,4.53k,22.15k,60.62%
1359,DMAQU,10.07,10.07,10.15,10.03,9.52k,275k,N/A
1360,DFRG,,,,,,,
1361,DCTHW,,,,,,,
1362,DGAS,,,,,,,
1363,DELTW,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1364,DNLI,47.28,55.42,84.25,41.10,578.31k,473.53k,79.49%
1365,DENN,15.13,16.29,20.02,13.33,435.05k,657.49k,86.29%
1366,DMTK,22.47,34.60,84.49,15.15,848.94k,609.03k,74.42%
1367,DRMT,,,,,,,
1368,DWRI,,,,,,,
1369,CMRG,,,,,,,
1370,KUSMX,,,,,,,
1371,DLLR,,,,,,,
1372,DMAC,3.9046,5.5618,10.8800,3.0000,189.17k,168.32k,20.30%
1373,DEACU,,,,,,,
1374,EACU,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1375,DHIL,204.23,180.96,234.84,138.69,9.74k,8.29k,65.31%
1376,DHHC,9.75,9.74,10.25,9.60,66.29k,33.59k,70.71%
1377,FANG,108.78,89.39,117.71,47.56,2.44M,2.81M,88.97%
1378,DRNA,30.42,28.73,40.14,19.06,3.11M,2.79M,84.67%
1379,DIGE,,,,,,,
1380,DGHI,5.4199,4.8923,14.2500,1.3140,150.85k,161.76k,N/A
1381,DBGI,2.9898,3.4441,8.8000,2.0900,208.35k,2.94M,13.52%
1382,DHACU,10.18,10.18,10.29,10.09,43.23k,205.1k,N/A
1383,APPS,65.67,67.80,102.56,45.00,4.55M,3.39M,66.44%
1384,DMTX,,,,,,,
1385,DRTT,2.4569,3.3100,4.9500,1.6300,104.95k,85.08k,78.00%
1386,DISCB,37.97,56.38,150.72,27.19,2.51k,4.86k,7.39%
1387,DISCK,24.01,28.66,66.70,20.86,3.28M,3.56M,90.62%
1388,DITC,,,,,,,
1389,DSEY,14.63,16.03,18.61,12.05,1.81M,1.07M,97.67%
1390,DHCNL,N/A,N/A,22.49,22.30,N/A,N/A,N/A
1391,DIVX,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1392,TSTF,,,,,,,
1393,DCGO,9.12,9.73,11.86,7.14,884.25k,556.31k,N/A
1394,DOCC,,,,,,,
1395,DLTR,126.22,108.59,149.37,84.26,2.61M,3.81M,93.90%
1396,DGICA,14.25,14.89,16.48,13.35,44.75k,36.71k,80.22%
1397,DORM,110.93,103.21,122.96,86.22,221.3k,104.3k,77.84%
1398,DKNG,37.26,49.48,74.38,25.80,15.86M,15.27M,62.17%
1399,DPRO,2.7802,2.3416,5.6500,0.7700,423.64k,285.58k,0.00%
1400,DGNS,10.01,10.11,14.62,8.61,745.51k,752.67k,68.91%
1401,DOTAU,,,,,,,
1402,DOTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1403,DFH,17.55,21.44,36.60,15.25,140.29k,221.36k,22.61%
1404,DRVN,31.84,29.39,35.56,22.26,481.67k,457.18k,96.87%
1405,DBX,26.51,28.38,33.00,21.57,2.92M,3.78M,81.78%
1406,DCT,29.79,39.68,59.40,26.86,537.61k,845.04k,73.84%
1407,DSACU,10.44,10.29,13.37,9.95,120,1.18k,9.13%
1408,DUNE,9.90,9.81,10.24,9.51,9.18k,150.7k,74.38%
1409,DUOL,133.57,144.21,204.99,94.50,355.31k,385.65k,N/A
1410,DRTK,,,,,,,
1411,DRCO,,,,,,,
1412,DYSL,1.5720,1.3001,2.6500,0.8700,800,1.75k,0.00%
1413,DVAX,16.31,12.79,21.39,4.36,1.96M,2.46M,76.75%
1414,DKHR,,,,,,,
1415,DALS,9.83,9.84,10.26,9.65,2.95k,14.21k,41.67%
1416,DDMX,9.90,9.92,11.02,8.74,178.94k,110.07k,68.83%
1417,DFPH,9.98,10.09,11.87,9.80,367.39k,101.6k,102.61%
1418,DHCA,9.76,9.72,10.63,9.61,2.15k,32.52k,49.24%
1419,DICE,29.92,30.19,40.50,20.93,669.45k,263.01k,35.63%
1420,DISH,35.80,40.48,47.05,28.53,2.4M,2.52M,87.78%
1421,DLO,40.39,48.19,73.43,29.57,1.08M,1.99M,N/A
1422,DSPG,21.91,17.49,22.00,13.42,387.79k,292.24k,87.13%
1423,DTLR,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1424,DXPE,30.30,30.71,36.26,21.49,151.03k,76.15k,74.02%
1425,DAIED,,,,,,,
1426,DJCO,358.31,333.08,416.69,298.00,2.35k,2.64k,40.25%
1427,DAKT,5.21,5.94,7.23,4.55,277.94k,406.93k,58.06%
1428,DARE,1.7318,1.6053,3.8500,1.2000,4.83M,5.48M,4.86%
1429,DSKE,9.83,8.42,10.71,4.97,363.06k,420.95k,37.10%
1430,DDUP,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1431,DKDCA,10.07,10.02,10.20,9.81,13.78k,36.72k,N/A
1432,DDOG,174.94,125.90,199.68,69.73,4.24M,3.34M,77.88%
1433,DWCH,,,,,,,
1434,DTEA,3.6630,3.6549,7.4500,2.1400,119.06k,158.44k,2.51%
1435,DAWN,20.33,22.09,28.70,15.16,487.91k,172.58k,26.17%
1436,DSUP,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1437,DEAR,,,,,,,
1438,DCRN,10.03,9.90,10.43,9.60,860.41k,805.6k,81.75%
1439,DCRD,9.90,9.90,10.56,9.75,68.48k,130.22k,11.31%
1440,DCPH,15.65,30.72,57.99,7.63,2.49M,2.13M,77.00%
1441,DECTW,,,,,,,
1442,DMAQ,9.85,9.85,10.05,9.70,14.44k,132.18k,N/A
1443,DEER,0.0017,0.0138,0.0500,0.0001,4.84k,4.98k,0.00%
1444,DH,33.78,36.71,50.30,24.66,640.32k,522.68k,84.39%
1445,TACO,9.71,9.66,12.56,7.34,1.82M,825.14k,65.76%
1446,DCTH,9.54,10.66,25.18,7.00,61.74k,86.15k,30.16%
1447,DELL,56.24,51.48,59.49,35.57,3.23M,5.44M,86.72%
1448,DPTR,,,,,,,
1449,PROJ,,,,,,,
1450,DEPO,,,,,,,
1451,DRMA,3.5926,4.1675,6.9500,1.6100,138.14k,327.65k,N/A
1452,DSGX,82.11,72.88,91.39,56.55,202.55k,117.47k,92.06%
1453,DSGN,17.61,19.81,43.00,12.52,404.3k,177.95k,60.63%
1454,DXLG,6.97,4.56,8.99,0.25,1.15M,660.58k,46.19%
1455,DSWL,4.2082,4.1731,5.6000,2.9200,4.11k,10.14k,3.10%
1456,KUSIX,,,,,,,
1457,DXCM,584.49,480.31,659.45,318.45,783.39k,675.35k,100.09%
1458,DLGS,,,,,,,
1459,DEAC,,,,,,,
1460,DTPI,,,,,,,
1461,DCIXV,,,,,,,
1462,DFFN,0.4050,0.5940,1.8500,0.3000,1.09M,1.31M,11.48%
1463,DGII,23.24,20.70,25.63,16.33,139.12k,123.34k,87.96%
1464,DMRC,45.65,35.14,53.74,22.11,91.82k,91.7k,55.99%
1465,DGLY,1.1828,1.4886,3.9800,0.9700,1.01M,1.94M,7.05%
1466,DGIT,,,,,,,
1467,DTOC,9.73,9.73,10.35,9.60,38.01k,39.49k,67.96%
1468,DWAC,53.45,44.48,175.00,9.84,1.93M,17.09M,0.00%
1469,DCOM,35.39,33.58,38.35,23.45,262.61k,144.19k,81.00%
1470,DIOD,104.31,88.03,113.98,68.01,244.95k,231.19k,98.04%
1471,DISAD,,,,,,,
1472,DISCA,24.79,30.97,78.14,21.66,5.28M,6.22M,125.05%
1473,DISA,9.77,9.72,10.78,9.60,5.58k,16.22k,53.23%
1474,DVCR,9.84,5.49,10.01,2.50,14.69k,30.65k,16.75%
1475,DHC,3.1578,3.7806,5.5800,2.3500,1.87M,1.33M,80.76%
1476,DXYN,5.60,4.09,6.98,2.26,42.98k,79.41k,49.61%
1477,DMIF,,,,,,,
1478,DCBO,71.70,64.23,92.75,37.21,94.57k,86.61k,40.67%
1479,DOCU,223.21,245.23,314.76,131.51,4.85M,4.96M,77.33%
1480,DOGZ,4.88,2.77,7.89,1.30,1.37M,1.23M,6.33%
1481,DLPN,9.60,10.26,32.50,3.30,79.12k,158.77k,11.38%
1482,DOMO,71.79,74.35,98.35,44.54,431.06k,378.76k,78.14%
1483,DGICB,13.67,14.47,16.36,11.81,330,598,91.94%
1484,DBTK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1485,VGGL,,,,,,,
1486,LYL,1.4391,1.4461,3.8800,1.0000,72.41k,143.72k,0.70%
1487,DGNU,9.93,9.96,10.88,9.70,228.57k,145.1k,90.37%
1488,DOTAW,,,,,,,
1489,DROOD,,,,,,,
1490,TBUS,,,,,,,
1491,DSCM,,,,,,,
1492,DSAC,9.88,9.80,11.20,9.60,130.98k,104.25k,71.06%
1493,DLTH,15.32,15.85,20.78,10.31,108.84k,137.4k,29.41%
1494,DUOT,5.68,7.67,13.30,4.05,8.65k,12.62k,26.23%
1495,DRRX,1.0824,1.4409,2.9500,0.8700,905.95k,700.43k,53.10%
1496,DYAI,4.0356,4.4244,8.7800,3.1500,247.29k,159.56k,20.19%
1497,DYNS,9.99,9.92,10.54,9.58,585.24k,132.96k,91.60%
1498,DYNT,1.2668,1.2572,2.5600,0.8000,139.23k,174.13k,6.86%
1499,DYN,13.91,16.82,32.31,11.56,226.13k,192.74k,104.04%
1500,EJH,2.2693,12.9069,80.9280,1.3600,1.14M,1.38M,0.12%
1501,ETAC,9.84,9.80,11.00,9.60,53.66k,116.58k,68.49%
1502,ECAC,,,,,,,
1503,EZEM,,,,,,,
1504,ENNV,9.92,9.86,16.00,9.60,58.68k,120.77k,5.85%
1505,EJFA,9.94,9.79,10.24,9.53,63.4k,109.95k,83.29%
1506,EMKR,7.38,7.71,10.87,4.53,619.08k,333.3k,79.28%
1507,ENG,1.9942,2.6441,9.4000,1.2800,563.17k,1.77M,31.82%
1508,EQRX,9.43,9.84,11.10,5.55,552.87k,406.49k,25.31%
1509,ESACU,10.12,10.12,10.38,10.04,1.21k,274.22k,N/A
1510,EPIX,11.72,19.32,36.00,7.42,111.92k,244.26k,82.28%
1511,EVGO,11.71,11.32,24.34,7.17,4.86M,8.44M,25.84%
1512,EXAS,87.00,105.92,159.54,71.81,1.69M,1.62M,91.14%
1513,EZPW,7.52,6.69,8.80,4.47,457.72k,419.11k,93.49%
1514,EGBN,57.73,56.26,61.58,40.17,275.98k,124.76k,76.66%
1515,EBMT,22.52,22.92,26.13,20.00,9.56k,7.15k,53.72%
1516,EFBI,18.36,18.39,18.75,16.50,150,51,0.38%
1517,EEGL,,,,,,,
1518,ERES,9.87,9.82,10.73,9.63,81.72k,75.28k,78.11%
1519,EWBC,80.44,75.77,87.77,50.49,792.88k,681.55k,91.79%
1520,EML,24.90,27.49,33.96,22.23,7.57k,8.95k,66.73%
1521,EAST,2.2481,2.5850,4.8300,1.2500,55.97k,111.71k,16.18%
1522,EVFTC,,,,,,,
1523,EBON,1.6894,2.9658,13.7000,0.9310,3.08M,3.5M,12.93%
1524,ECHO,48.03,35.90,48.36,25.99,341.19k,714.41k,94.26%
1525,ECLP,,,,,,,
1526,ECST,,,,,,,
1527,EBHI,,,,,,,
1528,EDGRW,,,,,,,
1529,EDGE,,,,,,,
1530,EWTX,18.15,21.40,40.49,13.19,665.18k,234.66k,103.53%
1531,EDNT,,,,,,,
1532,EDIT,33.87,42.29,99.95,26.69,1.69M,1.35M,74.57%
